framework,scenario,run,value,status,hwnd,focusHwnd,queryFocus,windowDpi,windowLeft,windowTop,windowWidth,windowHeight,query,resultCount,workingSetBytes,privateBytes,handleCount,userObjects,gdiObjects
avalonia,hotkey-visible,25,13.932,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,26,13.658,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,27,10.446,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,28,10.532,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,29,10.438,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,30,10.119,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,31,10.557,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,32,11.626,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,33,12.978,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,34,10.787,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,35,12.135,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,36,13.121,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,37,15.371,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,38,14.623,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,39,11.578,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,40,11.346,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,41,10.069,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,42,11.577,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,43,12.287,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,44,12.570,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,45,14.012,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,46,12.761,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,47,12.473,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,48,10.653,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,49,11.633,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,50,10.920,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,51,13.883,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,52,9.671,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,53,12.438,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,54,12.309,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,55,10.531,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,56,12.890,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,57,13.846,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,58,13.166,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,59,14.996,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,60,10.619,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,61,12.307,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,62,12.126,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,63,13.495,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,64,10.117,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,65,12.933,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,66,13.178,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,67,13.862,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,68,13.480,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,69,15.470,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,70,9.477,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,71,10.729,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,72,10.447,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,73,10.925,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,74,10.642,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,75,11.794,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,76,10.261,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,77,10.264,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,78,10.124,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,79,11.174,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,80,10.076,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,81,11.659,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,82,12.480,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,83,14.415,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,84,9.290,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,85,11.991,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,86,13.030,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,87,14.885,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,88,14.559,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,89,12.962,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,90,13.273,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,91,14.995,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,92,14.885,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,93,8.537,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
avalonia,hotkey-visible,94,10.908,pass,52628302,52628302,True,96,1380,516,680,360,,,,,,,
